object_level;object_name;okato;oktmo;gender;education_level;year;study_area;count_graduate;percent_employed;average_salary_fact_avg;average_salary_fact_med;average_salary_norm_avg;average_salary_norm_med;average_age;percent_combine_work_and_study
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2020;Сельское хозяйство и сельскохозяйственные науки;22378;73.977;66090.086;57500.0;63462.729;56086.668;28.858;54.665
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2020;Гуманитарные науки;6307;73.301;76897.0;66666.67;70529.245;61749.998;26.952;61.725
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2020;Здравоохранение и медицинские науки;9082;78.896;71608.2;64583.33;65245.114;61794.997;27.645;42.997
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2020;Инженерное дело, технологии и технические науки;165389;78.239;87817.185;79408.335;80366.679;73440.0;27.208;54.417
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2020;Искусство и культура;4574;76.382;67661.397;59083.33;61039.685;55155.553;26.841;47.508
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2020;Математические и естественные науки;102;76.744;100442.68;84416.67;79800.445;68340.0;28.49;50.0
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2020;Науки об обществе;44672;66.187;72388.422;62000.0;64458.204;54964.0;27.079;36.772
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2020;Образование и педагогические науки;1828;78.922;71787.432;64454.55;68359.635;60060.0;29.188;64.606
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2020;Сельское хозяйство и сельскохозяйственные науки;15418;73.652;73716.549;66083.33;71083.048;64562.729;29.231;56.557
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2020;Гуманитарные науки;6783;81.608;56497.103;49250.0;49914.065;45600.0;27.053;52.484
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2020;Здравоохранение и медицинские науки;57224;86.493;57067.127;51727.27;53044.824;50735.0;28.645;43.545
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2020;Инженерное дело, технологии и технические науки;52947;79.499;56629.712;50000.0;51785.858;46550.0;27.429;50.681
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2020;Искусство и культура;17062;77.183;52909.258;47000.0;48376.819;45057.726;27.132;42.299
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2020;Математические и естественные науки;160;78.358;62629.648;55523.81;51555.185;47950.415;28.85;48.125
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2020;Науки об обществе;93441;75.758;51971.816;46250.0;46399.022;41950.002;26.595;39.309
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2020;Образование и педагогические науки;33010;85.621;52462.293;48250.0;49637.519;47272.081;29.52;63.39
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2020;Сельское хозяйство и сельскохозяйственные науки;6960;74.72;47753.387;42714.29;45143.105;40162.5;28.031;50.474
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2021;Гуманитарные науки;13605;75.243;61462.794;53166.67;56879.078;50731.229;25.982;53.083
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2021;Здравоохранение и медицинские науки;71706;82.837;58128.531;52800.0;54055.519;51703.001;27.495;47.767
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2021;Инженерное дело, технологии и технические науки;229492;77.187;77117.458;69000.0;71122.482;64033.33;26.277;54.559
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2021;Искусство и культура;22827;75.364;54349.082;48416.67;49916.448;46072.0;26.026;42.774
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2021;Математические и естественные науки;269;79.825;65143.389;55375.0;54482.82;47955.0;27.699;53.532
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2021;Науки об обществе;153663;70.556;55654.865;48422.62;49656.615;43800.0;25.613;41.126
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2021;Образование и педагогические науки;35992;83.211;53305.534;49500.0;50437.499;48393.337;28.177;55.543
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2021;Сельское хозяйство и сельскохозяйственные науки;23836;71.728;64151.615;56250.0;61460.235;54112.5;27.846;54.405
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2021;Гуманитарные науки;6659;72.066;72535.605;62333.33;67543.936;59150.0;26.121;56.36
